Model,fRMSE_low,fRMSE_mid,fRMSE_high,fRMSE_all,FE,KE,MVPE
PIBERT,0.05354211409172594,0.02142697741256265,0.005536664476123644,0.024284765477445007,8.137943137036041,0.00022212449031623204,0.0016028143444458901
FNO2d,0.05507130552460886,0.02134606266995971,0.004749729371008274,0.024537631369216016,10.592292084903322,0.0002564832235779834,0.0031835995778329122
DeepONet2d,0.11905460112551172,0.029961786472857018,0.00460442813263457,0.04474939765133446,18.608445548032385,0.0009569099379378857,0.01431699700246392
PITT,0.07984239891671933,0.028907825571556377,0.00471161347259545,0.034362385459121673,11.018182305744343,0.0005644881632095321,0.007002738914709894
FourierFlow,0.053864000845402785,0.021693591432617117,0.004856697779533983,0.024469541759023175,7.3762138331718505,0.00024051066505544595,0.0011750954741509122
