Model,Low-St,Mid-St,High-St
PIBERT,0.9935,0.9981,0.9998
FNO2d,1.0095,1.0078,1.0069
DeepONet2d,0.6766,0.7124,0.7165
PITT,0.8361,0.8216,0.7629
FourierFlow,0.9905,0.9937,0.9930
PINN,0.9523,0.9620,0.9529
